WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,Sum of AGE,LOT_NO,SUBLOT_NO,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996970,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512307,300996971,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300996976,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300996977,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300996978,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300997021,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300997022,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300997033,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300997040,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512308,300997042,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997102,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997103,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997104,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997114,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997119,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997127,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997142,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512310,300997411,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997630,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997631,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997632,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997633,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997635,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997637,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997638,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,8,1052512313,300997639,1,"",
ID002,310015,ID002,101,3117A-9999A,41,1052509012,300951687,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996797,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996801,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996802,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996804,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996806,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996811,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996817,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512304,300996818,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996832,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996834,1,"",
ID002,310015,ID002,101,3123A-3132A-9999A-9999E,8,1052512305,300996835,1,"",
