Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
91,55.115,0,310015,1012506207,101,WA002,3117A-3123A-9999A-9999E,WA018,300912485,
91,2755.75,1,310015,1012506207,101,WA002,3117A-3123A-9999A-9999E,WA018,300912486,
91,1432.99,1,310015,1012506207,101,WA002,3117A-3123A-9999A-9999E,WA018,300912511,
91,2755.75,1,310015,1012506207,101,WA002,3117A-3123A-9999A-9999E,WA018,300912512,
91,2755.75,1,310015,1012506208,101,WA002,3117A-3123A-9999A-9999E,WA018,300912513,
91,2755.75,1,310015,1012506208,101,WA002,3117A-3123A-9999A-9999E,WA018,300912525,
91,2061.0,1,310086,1052506231,101,ID002,3140A,ID010,300912841,
91,2071.0,1,310086,1052506231,101,ID002,3140A,ID010,300912845,
92,110.23,0,310015,1052506101,101,ID002,3117A-3123A-9999A,MEX002,300910140,
93,440.92,0,310015,1052506001,101,ID002,3117A-3123A-9999A,MEX002,300908393,
93,1047.185,0,310015,1052506002,101,ID002,3117A-3123A-9999A,MEX002,300908465,
93,606.265,0,310015,1052506006,101,ID002,3117A-3123A-9999A,MEX002,300909027,
93,385.805,0,310015,1052506007,101,ID002,3117A-3123A-9999A,MEX002,300909116,
93,385.805,0,310015,1052506008,101,ID002,3117A-3123A-9999A,MEX002,300909275,
93,220.46,0,310015,1052506012,101,ID002,3117A-9999A,MEX002,300909980,
93,606.265,0,310015,1052506013,101,ID002,3117A-9999A,MEX002,300912481,
94,220.46,0,310015,1052505912,101,ID002,3117A-3123A-9999A,MEX002,300908061,
94,661.38,0,310015,1052505913,101,ID002,3117A-3123A-9999A,MEX002,300908186,
94,496.035,0,310015,1052505914,101,ID002,3117A-3123A-9999A,MEX002,300908303,
94,2755.75,1,310015,1052505914,101,ID002,3117A-3123A-9999A,MEX002,300908305,
95,2425.06,1,310002,1002505801,102,WA001,9999A,WA001,300905709,
97,2755.75,1,310002,1002505603,102,WA001,9999A,WA001,300903921,
97,330.69,0,310015,1052505601,101,ID002,3117A-9999A,MEX002,300902816,
97,275.575,0,310015,1052505602,101,ID002,3117A-9999A,MEX002,300902857,
97,385.805,0,310015,1052505603,101,ID002,3117A-9999A,MEX002,300903712,
97,110.23,0,310015,1052505604,101,ID002,3117A-9999A,MEX002,300903720,
97,440.92,0,310015,1052505605,101,ID002,3117A-9999A,MEX002,300903797,
97,2170.0,1,310086,1052505631,102,ID002,9999A,ID010,300903270,
