AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029254,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029255,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029256,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029257,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029268,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029269,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029270,,1,3007S-3025S-3033A-3035A-9999A-9999E,6
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025934,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025936,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025937,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025938,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025963,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025964,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025965,,1,9999A,1
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025966,,1,9999A,1
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026012,,1,9999A,1
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026026,,1,9999A,1
